	Match	HOdds	DOdds	VOdds
313	Montpellier - Paris SG 0:0	13.39	6.17	1.23
314	Lille - Monaco 0:4	4.87	3.93	1.71
315	Paris SG - Lyon 2:0	1.16	8.51	14.83
316	Rennes - Nice 0:1	2.36	3.35	3.08
317	Dijon - St Etienne 0:1	2.74	3.14	2.77
318	Nantes - Caen 1:0	1.97	3.23	4.39
319	Monaco - Strasbourg 3:0	1.26	6.24	11.54
320	Toulouse - Bordeaux 0:1	3.04	3.18	2.48
321	Marseille - Rennes 1:3	1.57	4.20	5.81
322	St Etienne - Angers 1:1	2.11	3.16	3.87
323	Caen - Dijon 2:1	1.89	3.42	4.45
324	Strasbourg - Amiens 0:1	2.03	3.33	3.96
325	Nice - Monaco 4:0	4.54	3.86	1.77
326	Metz - Paris SG 1:5	26.50	10.53	1.11
327	Monaco - Marseille 6:1	1.60	4.12	5.63
328	Guingamp - Strasbourg 2:0	1.78	3.59	4.88
329	Caen - Metz 1:0	1.81	3.53	4.76
330	Toulouse - Rennes 3:2	2.27	3.17	3.45
331	St Etienne - Metz 3:1	1.60	3.86	6.15
332	Dijon - Paris SG 1:2	19.45	8.49	1.14
333	Angers - Lyon 3:3	3.31	3.40	2.21
334	Guingamp - Toulouse 1:1	1.87	3.41	4.53
335	Rennes - Caen 0:1	1.88	3.37	4.60
336	Strasbourg - Nantes 1:2	2.58	3.04	3.04
337	Caen - Amiens 1:0	1.94	3.24	4.47
338	Metz - Troyes 0:1	2.13	3.27	3.69
339	Nice - Angers 2:2	1.78	3.49	4.98
340	Angers - Metz 0:1	1.56	3.98	6.58
341	Amiens - Marseille 0:2	3.47	3.41	2.13
342	Guingamp - Lille 1:0	2.07	3.34	3.82
343	Troyes - Montpellier 0:1	2.93	3.15	2.60
344	Lyon - Guingamp 2:1	1.41	4.86	7.74
345	Montpellier - Nantes 0:1	2.22	3.10	3.69
346	Troyes - Toulouse 0:0	2.88	3.21	2.59
347	Lille - Bordeaux 0:0	2.77	3.25	2.67
348	Angers - Lille 1:1	2.15	3.22	3.71
349	Dijon - Montpellier 2:1	2.58	3.19	2.90
350	Amiens - Nice 3:0	3.16	3.19	2.41
351	Nantes - Lyon 0:0	3.62	3.49	2.07
352	Paris SG - St Etienne 3:0	1.09	11.40	29.09
353	Paris SG - Toulouse 6:2	1.08	11.15	30.34
354	Lille - Caen 0:2	1.74	3.70	5.08
355	Montpellier - Strasbourg 1:1	1.96	3.38	4.14
356	Rennes - Dijon 2:2	1.73	3.73	4.99
357	Troyes - Nantes 0:1	2.56	3.15	2.97
358	Metz - Monaco 0:1	8.80	5.32	1.35
359	Guingamp - Paris SG 0:3	12.65	6.13	1.24
360	Strasbourg - Lille 3:0	3.59	3.45	2.10
361	Amiens - Angers 0:2	3.04	3.06	2.56
362	Caen - St Etienne 0:1	2.99	3.08	2.58
363	Nantes - Marseille 0:1	3.07	3.21	2.44
364	Rennes - Lyon 1:2	3.64	3.51	2.05
