	Match	HOdds	DOdds	VOdds
68	Hannover - Augsburg 1:3	2.30	3.33	3.27
69	Hoffenheim - Wolfsburg 3:0	1.72	3.83	5.07
70	Mainz - Schalke 0:1	3.41	3.33	2.26
71	Freiburg - Bayern Munich 0:4	7.60	4.69	1.44
72	RB Leipzig - Dortmund 1:1	2.24	3.64	3.18
73	Eintracht Frankfurt - Hannover 1:0	1.74	3.74	5.00
74	Schalke - Hertha Berlin 1:0	1.65	3.75	5.99
75	B. Monchengladbach - Werder Bremen 2:2	2.01	3.56	3.80
76	Dortmund - Augsburg 1:1	1.41	4.94	7.84
77	RB Leipzig - FC Koln 1:2	1.50	4.43	6.69
78	Werder Bremen - Hamburger SV 1:0	2.07	3.31	3.95
79	Hannover - B. Monchengladbach 0:1	2.77	3.42	2.58
80	Stuttgart - Eintracht Frankfurt 1:0	2.42	3.26	3.13
81	FC Koln - Mainz 1:1	2.11	3.56	3.49
82	B. Monchengladbach - Hertha Berlin 2:1	1.78	3.74	4.75
83	Werder Bremen - Eintracht Frankfurt 2:1	2.39	3.41	3.04
84	Bayern Munich - Dortmund 6:0	1.37	5.35	8.22
85	Hannover - RB Leipzig 2:3	4.53	3.89	1.78
86	Schalke - Freiburg 2:0	1.56	3.90	7.12
87	FC Koln - Bayer Leverkusen 2:0	4.77	4.03	1.71
88	Augsburg - Werder Bremen 1:3	2.42	3.36	3.04
89	Eintracht Frankfurt - Mainz 3:0	1.75	3.65	5.14
90	Stuttgart - RB Leipzig 0:0	3.12	3.35	2.38
91	Bayern Munich - Hamburger SV 6:0	1.15	8.46	19.78
92	Hertha Berlin - Freiburg 0:0	2.25	3.09	3.65
93	FC Koln - Stuttgart 2:3	2.53	3.33	2.88
94	Augsburg - Hoffenheim 0:2	2.90	3.36	2.51
95	Hamburger SV - Mainz 0:0	2.21	3.27	3.57
96	Wolfsburg - Bayer Leverkusen 1:2	3.46	3.53	2.14
97	Bayer Leverkusen - Schalke 0:2	2.07	3.53	3.65
98	Bayern Munich - Hertha Berlin 0:0	1.18	7.68	16.33
99	Hoffenheim - Freiburg 1:1	1.74	3.87	4.78
100	Mainz - Wolfsburg 1:1	2.26	3.31	3.41
101	Eintracht Frankfurt - RB Leipzig 2:1	2.64	3.31	2.79
102	B. Monchengladbach - Dortmund 0:1	3.37	3.62	2.14
103	Schalke - Hoffenheim 2:1	2.13	3.52	3.49
104	Freiburg - Werder Bremen 1:0	2.65	3.36	2.73
105	Wolfsburg - Bayern Munich 1:2	7.38	4.72	1.44
106	Hertha Berlin - Mainz 0:2	2.01	3.42	4.03
107	Werder Bremen - Wolfsburg 3:1	1.95	3.58	4.02
108	Bayern Munich - Schalke 2:1	1.25	6.48	11.90
109	Dortmund - Hamburger SV 2:0	1.37	5.04	8.81
110	Hannover - Freiburg 2:1	2.09	3.43	3.72
111	RB Leipzig - Augsburg 2:0	1.77	3.66	4.98
112	Hamburger SV - Hannover 1:1	2.18	3.32	3.55
113	B. Monchengladbach - RB Leipzig 0:1	2.61	3.52	2.71
114	Hertha Berlin - Hoffenheim 1:1	3.01	3.40	2.41
115	Schalke - Werder Bremen 1:2	1.81	3.65	4.67
116	FC Koln - Dortmund 2:3	4.80	3.82	1.77
117	Hannover - Wolfsburg 0:1	2.33	3.44	3.10
118	Werder Bremen - Hertha Berlin 0:0	1.98	3.54	3.99
119	Bayern Munich - Hoffenheim 5:2	1.25	6.47	11.40
