	Match	HOdds	DOdds	VOdds
91	Chievo - Sassuolo 1:1	3.01	2.99	2.67
92	Benevento - Verona 3:0	1.83	3.81	4.30
93	Genoa - Cagliari 2:1	1.84	3.37	5.00
94	Chievo - Sampdoria 2:1	2.31	3.31	3.26
95	Atalanta - Udinese 2:0	1.44	4.46	8.13
96	Fiorentina - Crotone 2:0	1.53	4.13	6.83
97	Inter - Verona 3:0	1.16	8.36	17.97
98	Bologna - AS Roma 1:1	6.05	4.26	1.56
99	Napoli - Genoa 1:0	1.22	6.16	16.79
100	AC Milan - Chievo 3:2	1.39	4.63	9.41
101	Torino - Fiorentina 1:2	2.66	3.25	2.82
102	Sampdoria - Inter 0:5	3.90	3.57	1.98
103	Spal - Juventus 0:0	11.75	4.90	1.33
104	Juventus - Atalanta 2:0	1.42	4.27	9.81
105	Inter - Napoli 0:0	4.04	3.53	1.97
106	Bologna - Atalanta 0:1	4.61	3.54	1.84
107	Crotone - Sampdoria 4:1	2.71	3.25	2.73
108	Sassuolo - Spal 1:1	2.08	3.28	3.92
109	Verona - Chievo 1:0	3.82	3.32	2.11
110	AS Roma - Torino 3:0	1.56	4.32	5.97
111	Napoli - AS Roma 2:4	1.63	3.94	5.87
112	Spal - Bologna 1:0	2.46	3.12	3.19
113	Cagliari - Napoli 0:5	11.76	5.23	1.31
114	AS Roma - AC Milan 0:2	2.08	3.39	3.77
115	Sampdoria - Udinese 2:1	2.04	3.44	3.81
116	Verona - Torino 2:1	5.87	4.06	1.61
117	Inter - Benevento 2:0	1.25	6.17	12.85
118	Lazio - Verona 2:0	1.19	7.34	15.86
119	AC Milan - Sampdoria 1:0	1.65	3.95	5.45
120	Benevento - Crotone 3:2	2.41	3.23	3.14
121	Napoli - Spal 1:0	1.14	8.46	22.66
122	Genoa - Inter 2:0	3.37	3.16	2.36
123	Udinese - AS Roma 0:2	4.66	3.66	1.81
124	AS Roma - Benevento 5:2	1.18	7.61	16.51
125	Inter - Bologna 2:1	1.51	4.17	7.16
126	Torino - Udinese 2:0	1.78	3.69	4.85
127	Napoli - Lazio 4:1	1.81	3.61	4.89
128	Spal - AC Milan 0:4	4.67	3.48	1.85
129	Fiorentina - Juventus 0:2	4.86	3.39	1.86
130	Crotone - AS Roma 0:2	6.12	4.10	1.58
131	Verona - Atalanta 0:5	8.80	4.73	1.41
132	Udinese - Sassuolo 1:2	2.18	3.26	3.64
133	Genoa - AC Milan 0:1	3.47	3.16	2.29
134	Cagliari - Lazio 2:2	6.46	4.27	1.53
135	Juventus - Udinese 2:0	1.23	6.03	16.61
136	Fiorentina - Benevento 1:0	1.39	4.81	8.60
137	Lazio - Juventus 0:1	3.24	3.20	2.37
138	Fiorentina - Chievo 1:0	1.48	4.26	7.59
139	Sassuolo - Lazio 0:3	4.35	3.62	1.86
140	Crotone - Spal 2:3	2.27	3.12	3.56
141	Bologna - Genoa 2:0	2.91	2.90	2.84
142	Atalanta - Fiorentina 1:1	2.36	3.27	3.21
143	Bologna - Sassuolo 2:1	2.64	3.12	2.93
